identifier;type;title;author;author_gender;source;source_number;source_place;source_date;publication_date;publication_place;pages;literary epoch;decade
Swiat_Tekstow_Rocznik_Slupski-r2011-t9-s15-34;article;Powieść poetycka wobec autobiografii;Agnieszka Wnuk;kobieta;Swiat Tekstow Rocznik Slupski;t. 9;;2011;;;s. 15-34;Po 1989;2010
Swiat_Tekstow_Rocznik_Slupski-r2012-t10-s89-102;article;Oczekiwanie na powrót przeszłości : szkic na podstawie wybranych opowiadań Adolfa Rudnickiego;Agnieszka Kruszyńska;kobieta;Swiat Tekstow Rocznik Slupski;t. 10;;2012;;;s. 89-102;Po 1989;2010
Rocznik_Towarzystwa_Literackiego_imienia_Adama_Mickiewicza-r2007-t42-s27-35;article;"Historia szaleństwa, szaleństwo historii - John Maxwell Coetzee spotyka
  Michela Foucault";Katarzyna Bojarska;kobieta;Rocznik Towarzystwa Literackiego imienia Adama Mickiewicza;t. 42;;2007;;;s. 27-35;Po 1989;2000
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n3-s59-74;article;Kpina i terror;Zdzisław Jastrzębski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3;;1972;;;s. 59-74;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n3-s108-116;article;"Poetycka ""muzykologia""";Anna Barańczak;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3;;1972;;;s. 108-116;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n3-s168-172;article;Przekład jako gra;Jerzy Święch;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3;;1972;;;s. 168-172;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n3-s176-179;article;Ze wszystkich stron słowa;Krzysztof Zaleski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3;;1972;;;s. 176-179;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n4-s82-99;article;Darwin Norwida;Elżbieta Feliksiak;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4;;1972;;;s. 82-99;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n4-s100-112;article;"O ""Śmierci"" C. K. Norwida : (z zagadnień semantyki poetyckiej)";Stefan Sawicki;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4;;1972;;;s. 100-112;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n4-s181-183;article;Ogród modernizmu;Teresa Walas;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4;;1972;;;s. 181-183;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n5-s28-31;article;O przełomowości i przełomie romantycznym;Zofia Stefanowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 5;;1972;;;s. 28-31;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n5-s79-87;article;Mochnacki: między literaturą a czynem zbrojnym;Marek Gumkowski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5;;1972;;;s. 79-87;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n5-s136-149;article;Kordian pod baldachimem;Alina Kowalczykowa;kobieta;Teksty teoria literatury krytyka interpretacja;nr 5;;1972;;;s. 136-149;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n5-s163-168;article;W oczach historyka;Władysław Zajewski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5;;1972;;;s. 163-168;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n5-s177-180;article;Antynomie romantyzmu i romantyzm antynomii;Maria Cieśla;kobieta;Teksty teoria literatury krytyka interpretacja;nr 5;;1972;;;s. 177-180;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n1_(7)-s42-66;article;Cztery świątynie Mandelsztama;Jerzy Faryno;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 1 (7);;1973;;;s. 42-66;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n1_(7)-s117-125;article;Intensywizm - zapomniany program modernistyczny;Tomasz Lewandowski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 1 (7);;1973;;;s. 117-125;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n1_(7)-s131-137;article;Temat polski;Maria Janion;kobieta;Teksty teoria literatury krytyka interpretacja;nr 1 (7);;1973;;;s. 131-137;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n2_(8)-s43-54;article;Onirologia i oniromania;Alina Witkowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 2 (8);;1973;;;s. 43-54;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n2_(8)-s94-103;article;Miciński: między poezją a snem;Małgorzata Baranowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 2 (8);;1973;;;s. 94-103;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n6-s42-52;article;"""Siużet"" - co to za zwierz?";Roman Zimand;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6;;1972;;;s. 42-52;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n6-s132-137;article;Młodzież a lektury szkolne;Stanisław Bortnowski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6;;1972;;;s. 132-137;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1972-t-n6-s146-150;article;Literatura dla nauczycieli;Jerzy Paszek | Władysław Słodkowski;mężczyzna | mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6;;1972;;;s. 146-150;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n3_(9)-s68-83;article;Nauka o kulturze i semiotyka;Stefan Żółkiewski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (9);;1973;;;s. 68-83;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n3_(9)-s168-173;article;"""Rekolekcje"" Ingardena";Paweł Taranczewski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (9);;1973;;;s. 168-173;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n4_(10)-s34-39;article;Diabli wiedzą co, czyli Choromański;Hanna Kirchner;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4 (10);;1973;;;s. 34-39;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n4_(10)-s48-54;article;Reb Tojwie i świat;Tadeusz Nyczek;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4 (10);;1973;;;s. 48-54;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n4_(10)-s153-161;article;Przeklęta pamięć;Aleksander Fiut;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4 (10);;1973;;;s. 153-161;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n4_(10)-s162-168;article;Potworne dziecko, czyli kłopoty z historią;Ewa Bieńkowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4 (10);;1973;;;s. 162-168;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n1_(13)-s162-166;article;Rewolucja seksualna w wieku osiemnastym;Janina Abramowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 1 (13);;1974;;;s. 162-166;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n5_(11)-s7-21;article;Badania literackie nad XIX stuleciem;Maria Janion;kobieta;Teksty teoria literatury krytyka interpretacja;nr 5 (11);;1973;;;s. 7-21;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n5_(11)-s95-108;article;"Aluzje literackie w przekładzie ""Ulissesa""";Jerzy Paszek;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (11);;1973;;;s. 95-108;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n5_(11)-s109-120;article;Czytanie Wittgensteina;Andrzej Miś;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (11);;1973;;;s. 109-120;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n5_(11)-s174-180;article;Nowe formy w witkacologii : antyrecenzja z appendixem;Roman Rudziński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (11);;1973;;;s. 174-180;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n6_(12)-s91-105;article;Krajobrazy sprawiedliwości;Anna Martuszewska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 6 (12);;1973;;;s. 91-105;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n6_(12)-s106-121;article;"Nieważne to, jak było naprawdę : (W. Gombrowicz: ""Zbrodnia z premedytacją"")";Kazimierz Bartoszyński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6 (12);;1973;;;s. 106-121;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n6_(12)-s158-163;article;Poletko pana Balcerzana;Magdalena Lubelska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 6 (12);;1973;;;s. 158-163;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1973-t-n6_(12)-s171-176;article;Pensjonarki i genologia;Teresa Walas;kobieta;Teksty teoria literatury krytyka interpretacja;nr 6 (12);;1973;;;s. 171-176;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n2_(14)-s163-168;article;Ethos rycerski - i polski?;Maria Indyk;kobieta;Teksty teoria literatury krytyka interpretacja;nr 2 (14);;1974;;;s. 163-168;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n2_(14)-s168-170;article;"Dziesięć akapitów w związku ze ""Światopoglądem powieści""";Marian Płachecki;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 2 (14);;1974;;;s. 168-170;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n3_(15)-s114-122;article;Pytania o znaki;Krzysztof Wolicki;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (15);;1974;;;s. 114-122;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n3_(15)-s127-131;article;Pochwała olimpiady polonistycznej;Marian Stępień;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (15);;1974;;;s. 127-131;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n3_(15)-s137-140;article;Postulaty w sprawie studiów dla nauczycieli polonistów;Lucjan Porembski | Irena Szypowska;mężczyzna | kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (15);;1974;;;s. 137-140;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n3_(15)-s144-148;article;Przybliżać czy obniżać?;Krzysztof Dybciak;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (15);;1974;;;s. 144-148;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n3_(15)-s158-163;article;Kultura współczesna: casus Chomsky;Andrzej Miś;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (15);;1974;;;s. 158-163;1945-1989;1970
Paidia_i_Literatura_00004390;article;Od zabawy lalkami do zabawy słowami — tomiki wierszy dla dzieci Pawła Beręsewicza;Zabawa, Krystyna;kobieta;Paidia i Literatura;Nr 2 (2020);;2020;;;123-133;Po 1989;2020
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n5_(17)-s98-112;article;Dziwny naturalizm i realizm uduchowiony;Wiesław Juszczak;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (17);;1974;;;s. 98-112;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n5_(17)-s142-147;article;"Co nam zostało z tych lat? : (glosa na marginesie ""Kluczy do wyobraźni"")";Andrzej Krzysztof Waśkiewicz;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (17);;1974;;;s. 142-147;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n6_(18)-s32-44;article;O narratologii;Wincenty Grajewski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6 (18);;1974;;;s. 32-44;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n6_(18)-s90-106;article;Oddziaływanie literatury w perspektywie odbiorcy;Ryszard Handke;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6 (18);;1974;;;s. 90-106;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1974-t-n6_(18)-s111-115;article;Semiotyka a kultura literacka;Katarzyna Rosner;kobieta;Teksty teoria literatury krytyka interpretacja;nr 6 (18);;1974;;;s. 111-115;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n1_(19)-s72-85;article;Proszę pokazać język : trzeydzieści lat później, czyli przygody słowa;Stanisław Barańczak;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 1 (19);;1975;;;s. 72-85;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n4_(22)-s7-27;article;Tekst użytkowy i tekst literacki w drugiej połowie XIX wieku;Zbigniew Jarosiński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4 (22);;1975;;;s. 7-27;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n5_(23)-s1-6;article;Waterloo;Stefan Treugutt;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (23);;1975;;;s. 1-6;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n5_(23)-s140-144;article;Od historii krytyki do historii literatury;Zbigniew Maciejewski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (23);;1975;;;s. 140-144;1945-1989;1970
Pamiętnik_Literacki_00005249;article;Danuta Künstler-Langner, Anioł w poezji baroku. Dzieje postaci w kulturze dawnej Europy. Toruń 2007;Obremski, Krzysztof;mężczyzna;Pamiętnik Literacki;Pamiętnik Literacki Z. 1 (2010);;2010;;;;Po 1989;2010
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n2_(20)-s13-38;article;Polska proza cywilna;Maria Janion;kobieta;Teksty teoria literatury krytyka interpretacja;nr 2 (20);;1975;;;s. 13-38;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n2_(20)-s39-58;article;Muzyka - Świat;Ewa Bieńkowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 2 (20);;1975;;;s. 39-58;1945-1989;1970
polona0000001900_16_138-165;;O ideale;Kremer, Józef;mężczyzna;Listy z Krakowa. T. 1, Wstępne zasady estetyki i Dzieje artystycznéj fantazyi : część piérwsza;;;;1877;;;Pozytywizm;1870
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n2_(20)-s162-165;article;Późny, ale nie spóźniony przekład;Anna Martuszewska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 2 (20);;1975;;;s. 162-165;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n3_(21)-s124-133;article;Paradoksy sarmatyzmu;Stefan Zabłocki;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (21);;1975;;;s. 124-133;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n3_(21)-s165-167;article;Pod znakiem Erosa;Ewa Kuryluk;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (21);;1975;;;s. 165-167;1945-1989;1970
polona0000001900_16_166-197;;List dziesiąty;Kremer, Józef;mężczyzna;Listy z Krakowa. T. 1, Wstępne zasady estetyki i Dzieje artystycznéj fantazyi : część piérwsza;;;;1877;;;Pozytywizm;1870
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n3_(21)-s177-181;article;Adaptacja - czyli w poszukiwana wspólnego kodu;Janusz Czyżyk;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (21);;1975;;;s. 177-181;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1975-t-n3_(21)-s181-185;article;Młodopolskie programy i dyskusje;Bożena Potoczny;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (21);;1975;;;s. 181-185;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n1_(25)-s24-41;article;Zabawa jako źródło poezji;Krzysztof Dybciak;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 1 (25);;1976;;;s. 24-41;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n2_(26)-s106-119;article;Młodopolska utopia pozakodowej komunikacji;Jan Prokop;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 2 (26);;1976;;;s. 106-119;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n2_(26)-s164-168;article;Irzykowski - ciągle potrzebny;Jerzy Paszek;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 2 (26);;1976;;;s. 164-168;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n3_(27)-s102-118;article;"Hipoteza jedności : (glosa do interpretacji ""Kosmosu"")";Aleksandra Okopień-Sławińska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (27);;1976;;;s. 102-118;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n4_5_(28_29)-s27-43;article;Znaki, teatr, świętość;Jan Błoński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4/5 (28/29);;1976;;;s. 27-43;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n4_5_(28_29)-s44-62;article;Opis, analiza, interpretacja - w badaniach nad polską poezją współczesną;Edward Balcerzan;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4/5 (28/29);;1976;;;s. 44-62;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n4_5_(28_29)-s266-270;article;Michała Głowińskiego porządek bez chaosu;Ewa Wiegandtowa;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4/5 (28/29);;1976;;;s. 266-270;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n4_5_(28_29)-s270-274;article;Esej o powieści;Anna Martuszewska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4/5 (28/29);;1976;;;s. 270-274;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1977-t-n2_(32)-s116-134;article;"Teatr albo ""trzeba mieć ciało...""";Dobrochna Ratajczak;b.d.;Teksty teoria literatury krytyka interpretacja;nr 2 (32);;1977;;;s. 116-134;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1977-t-n3_(33)-s34-49;article;Oko i dłoń pisarza : próba interpretacji dzieła Leopolda Buczkowskiego;Ryszard Nycz;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (33);;1977;;;s. 34-49;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n6_(30)-s51-72;article;Aktualne problemy badań nad życiem literackim;Krzysztof Dmitruk;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6 (30);;1976;;;s. 51-72;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1976-t-n6_(30)-s131-135;article;Mochnacki a sprawa programu krytycznoliterackiego;Irena Kitowiczowa;kobieta;Teksty teoria literatury krytyka interpretacja;nr 6 (30);;1976;;;s. 131-135;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1977-t-n4_(34)-s141-157;article;Próba określenia komizmu jako kategorii ogólnofilozoficznej;Andrzej Pytlak;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4 (34);;1977;;;s. 141-157;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1977-t-n4_(34)-s168-173;article;Piękna przygoda;Bożena Sadkowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4 (34);;1977;;;s. 168-173;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1977-t-n5_6_(35_36)-s21-41;article;"""Wszystek krąg ziemski"" w poezji renesansowej";Czesław Hernas;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 6 (35 36);;1977;;;s. 21-41;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1977-t-n5_6_(35_36)-s140-164;article;Księga powtórzonego prawa;Tadeusz Komendant;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 6 (35 36);;1977;;;s. 140-164;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1978-t-n6_(42)-s54-65;article;Język współczesnego teatru lalek;Henryk Jurkowski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6 (42);;1978;;;s. 54-65;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1978-t-n6_(42)-s155-161;article;Bezinteresowność uczonych - cnota czy konieczność?;Jadwiga Depczyńska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 6 (42);;1978;;;s. 155-161;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1978-t-n4_(40)-s30-46;article;Polska poezja nieokrzesana : (próba określenia zjawiska);Marian Pankowski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4 (40);;1978;;;s. 30-46;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1978-t-n3_(39)-s1-7;article;Głos zakulisowego współredaktora;Janusz Sławiński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (39);;1978;;;s. 1-7;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1978-t-n3_(39)-s72-92;article;Przestrzeń otwartego sporu;Elżbieta Feliksiak;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (39);;1978;;;s. 72-92;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1978-t-n3_(39)-s152-156;article;Podwaliny teorii;Andrzej Tadeusz Kijowski;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 3 (39);;1978;;;s. 152-156;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1978-t-n5_(41)-s152-160;article;"""Tematy"" w ilustracjach ""Trylogii"" Henryka Sienkiewicza";Joanna Krzemińska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 5 (41);;1978;;;s. 152-160;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n1_(43)-s85-102;article;Ingarden, czyli świadomość niedofenomenologizowana;Krzysztof Okopień;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 1 (43);;1979;;;s. 85-102;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n1_(43)-s142-151;article;Leksykalno-semantyczne modelowanie czasu realnego w poezji;W. M. Pietrow;b.d.;Teksty teoria literatury krytyka interpretacja;nr 1 (43);;1979;;;s. 142-151;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n2_(44)-s155-163;article;Magnuszewskiego komedyjka o starokawalerstwie;Janina Rosnowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 2 (44);;1979;;;s. 155-163;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n3_(45)-s76-96;article;Martwym być na życia scenie;Dobrochna Ratajczak;b.d.;Teksty teoria literatury krytyka interpretacja;nr 3 (45);;1979;;;s. 76-96;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n3_(45)-s165-172;article;Gra skazanych;Elżbieta Kalemba-Kasprzak;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (45);;1979;;;s. 165-172;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n3_(45)-s172-179;article;Robak z cukru;Małgorzata Baranowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (45);;1979;;;s. 172-179;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n3_(45)-s181-185;article;Śmierć Polonii;Alina Witkowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 3 (45);;1979;;;s. 181-185;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n4_(46)-s1-9;article;Za co powinniśmy kochać Jana Błońskiego?;Janusz Sławiński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4 (46);;1979;;;s. 1-9;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n4_(46)-s85-101;article;Na krawędzi pustki;Krzysztof Pleśniarowicz;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 4 (46);;1979;;;s. 85-101;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1980-t-n1_(49)-s168-172;article;Berent dla trzech;Wojciech Głowala;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 1 (49);;1980;;;s. 168-172;1945-1989;1980
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n6_(48)-s1-7;article;Dywagacje o Słowackim;Jan Błoński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 6 (48);;1979;;;s. 1-7;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n6_(48)-s9-21;article;"""Tak będzie pisała kiedyś Polska""";Maria Janion;kobieta;Teksty teoria literatury krytyka interpretacja;nr 6 (48);;1979;;;s. 9-21;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n5_(47)-s80-91;article;Obecność klowna;Ewa Andruszko;kobieta;Teksty teoria literatury krytyka interpretacja;nr 5 (47);;1979;;;s. 80-91;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n5_(47)-s122-128;article;Relacje pamiętnikarskie w socjologii literatury;Marek Karpiński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (47);;1979;;;s. 122-128;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1979-t-n5_(47)-s151-158;article;Tertium non datur?;Grażyna Borkowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 5 (47);;1979;;;s. 151-158;1945-1989;1970
Teksty_teoria_literatury_krytyka_interpretacja-r1980-t-n2_(50)-s98-114;article;Muzyka w powieści;Michał Głowiński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 2 (50);;1980;;;s. 98-114;1945-1989;1980
Teksty_teoria_literatury_krytyka_interpretacja-r1980-t-n2_(50)-s150-165;article;Jarosław Iwaszkiewicz a grupa Skamandra;Janusz Stradecki;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 2 (50);;1980;;;s. 150-165;1945-1989;1980
Teksty_teoria_literatury_krytyka_interpretacja-r1980-t-n4_(52)-s135-140;article;O romantyzmie, o sobie, o nas;Alina Witkowska;kobieta;Teksty teoria literatury krytyka interpretacja;nr 4 (52);;1980;;;s. 135-140;1945-1989;1980
Teksty_teoria_literatury_krytyka_interpretacja-r1980-t-n5_(53)-s1-5;article;Z poradnika dla doktorantów;Janusz Sławiński;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (53);;1980;;;s. 1-5;1945-1989;1980
Teksty_teoria_literatury_krytyka_interpretacja-r1980-t-n5_(53)-s43-62;article;Kafka i wahadło;Krzysztof Borowik;mężczyzna;Teksty teoria literatury krytyka interpretacja;nr 5 (53);;1980;;;s. 43-62;1945-1989;1980
